countryName,countryCode,Year,DevelopmentIndex
Afghanistan,AFG,2005,0.16
Albania,ALB,2005,0.46
Algeria,DZA,2005,0.39
Angola,AGO,2005,0.22
Argentina,ARG,2005,0.61
Armenia,ARM,2005,0.54
Australia,AUS,2005,0.84
Austria,AUT,2005,0.71
Azerbaijan,AZE,2005,0.47
Bahamas,BHS,2005,0.52
Bahrain,BHR,2005,0.51
Bangladesh,BGD,2005,0.24
Barbados,BRB,2005,0.62
Belarus,BLR,2005,0.63
Belgium,BEL,2005,0.79
Belize,BLZ,2005,0.51
Benin,BEN,2005,0.24
Bolivia,BOL,2005,0.41
Botswana,BWA,2005,0.31
Brazil,BRA,2005,0.49
Canada,CAN,2005,0.82
Congo,COG,2005,0.29
Democratic Republic of Congo,COD,2005,0.15
Brunei,BRN,2005,0.52
Bulgaria,BGR,2005,0.53
Burkina Faso,BFA,2005,0.16
Burundi,BDI,2005,0.16
Cambodia,KHM,2005,0.29
Cameroon,CMR,2005,0.24
Mexico,MEX,2005,0.5
Niger,NER,2005,0.12
South Africa,ZAF,2005,0.33
Thailand,THA,2005,0.45
Cape Verde,CPV,2005,0.39
Central African Republic,CAF,2005,0.16
Chad,TCD,2005,0.15
Chile,CHL,2005,0.61
China,CHN,2005,0.42
Colombia,COL,2005,0.48
Comoros,COM,2005,0.25
United States,USA,2005,0.74
Costa Rica,CRI,2005,0.57
Cote d'Ivoire,CIV,2005,0.22
Croatia,HRV,2005,0.56
Cuba,CUB,2005,0.56
Cyprus,CYP,2005,0.62
Czechia,CZE,2005,0.6
Denmark,DNK,2005,0.78
Djibouti,DJI,2005,0.2
Dominican Republic,DOM,2005,0.43
Ecuador,ECU,2005,0.48
Egypt,EGY,2005,0.38
El Salvador,SLV,2005,0.41
Equatorial Guinea,GNQ,2005,0.33
Eritrea,ERI,2005,0.2
Estonia,EST,2005,0.63
Eswatini,SWZ,2005,0.26
Ethiopia,ETH,2005,0.18
Finland,FIN,2005,0.8
France,FRA,2005,0.74
Gabon,GAB,2005,0.36
Gambia,GMB,2005,0.2
Georgia,GEO,2005,0.5
Germany,DEU,2005,0.7
Ghana,GHA,2005,0.27
Greece,GRC,2005,0.66
Guatemala,GTM,2005,0.36
Guinea,GIN,2005,0.17
Guinea-Bissau,GNB,2005,0.18
Guyana,GUY,2005,0.44
Haiti,HTI,2005,0.23
Honduras,HND,2005,0.39
